# This dataset provides a comprehensive look at Airbnb prices in London. ,,,,,,,,,,,,,,,,,
# The dataset includes information such as realSum (the total price of the listing); multi (indicator if the listing belongs to hosts with 2-4 offers); biz (indicator if the listing belongs to hosts with more than 4 offers); bedrooms (0 for studios); dist (distance from city center) ; attr_index (accessibility of attractions within the city); rest_index (accessibility of restaurants within the city) etc. ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,rest_index,lng,lat
99,243.66,Private room,FALSE,TRUE,2,FALSE,0,1,9,88,1,1.150895685,0.292719996,844.5601325,1508.948938,-0.12398,51.51843
100,230.49,Private room,FALSE,TRUE,2,FALSE,0,1,9,90,1,1.174467916,0.402087959,1099.34874,1507.891059,-0.12544,51.5188
101,471.55,Entire home/apt,FALSE,FALSE,2,TRUE,1,0,10,93,1,3.743474754,0.832464113,471.9905448,725.3227588,-0.07479,51.5013
102,188.39,Private room,FALSE,TRUE,2,TRUE,0,0,10,99,1,8.421539117,0.900975734,164.8481281,343.0208549,-0.00628,51.50613
103,148.17,Private room,FALSE,TRUE,2,FALSE,0,0,10,98,1,3.64306153,0.546506438,289.3119949,528.5620046,-0.1123,51.47699
104,257.77,Private room,FALSE,TRUE,2,FALSE,0,1,9,93,1,1.378016564,0.296463832,652.6126173,1112.23964,-0.10877,51.50425
105,154.52,Private room,FALSE,TRUE,2,TRUE,0,0,10,98,1,5.648189273,0.584847116,193.5360523,401.3076243,-0.11857,51.45787
106,139.23,Private room,FALSE,TRUE,2,FALSE,0,0,10,91,1,3.417651473,1.047601415,361.0276064,630.2576797,-0.08476,51.49311
107,189.33,Private room,FALSE,TRUE,6,FALSE,0,1,7,78,1,5.172808121,0.320389041,245.9279075,540.6376525,-0.06,51.528
108,238.48,Private room,FALSE,TRUE,2,TRUE,0,0,10,99,1,9.437196189,1.071465811,147.0833357,290.1515005,0.00551,51.491
109,590.09,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,94,1,1.498353798,0.178209642,569.5308232,1477.263842,-0.13693,51.52044
110,230.49,Private room,FALSE,TRUE,3,FALSE,0,1,8,88,1,5.074211235,0.611727448,232.9197754,502.2008495,-0.17317,51.54394
111,861.97,Private room,FALSE,TRUE,2,FALSE,0,0,10,100,1,1.658063322,0.302617683,601.1785152,1059.60742,-0.10402,51.50565
112,186.03,Private room,FALSE,TRUE,2,FALSE,0,0,10,100,1,13.88082458,4.742394239,88.34543894,188.2810835,0.07094,51.49347
113,621.13,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,10,100,2,5.386858792,0.285636564,216.7220315,489.0622037,-0.17823,51.54497
114,515.3,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,73,1,7.489841822,0.574274212,178.8415743,378.015964,-0.02078,514.9863
115,502.6,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,90,3,4.487696636,1.968878757,255.9546979,526.3384172,-0.1655,51.4757
116,97.84,Private room,FALSE,TRUE,2,FALSE,0,0,9,90,1,5.66266053,0.698779916,211.7710697,461.6679051,-0.20272,51.52803
117,440.74,Private room,FALSE,TRUE,2,FALSE,1,0,10,98,1,1.886901206,0.334853971,539.7092293,1040.043762,-0.15114,51.49995
118,605.85,Entire home/apt,FALSE,FALSE,3,FALSE,0,0,9,88,2,4.023760969,1.097685994,268.4479794,495.339773,-0.0989,51.47688
119,231.9,Private room,FALSE,TRUE,2,FALSE,1,0,10,98,1,4.916541847,0.511292897,261.840215,596.1605944,-0.06273,51.52618
120,1847.64,Entire home/apt,FALSE,FALSE,6,TRUE,1,0,9,94,2,0.321253223,0.109003637,988.6028992,1789.629728,-0.12297,51.50777
121,770.48,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,10,90,1,0.521499345,0.187446286,920.0386006,2587.656899,-0.127,51.513
122,770.48,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,10,87,1,0.790342458,0.230907084,832.8727458,1924.890273,-0.1239,51.51506
123,322.21,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,97,1,2.233847714,0.38361246,470.9145637,921.8893389,-0.14848,51.4931
124,131.47,Private room,FALSE,TRUE,2,FALSE,0,0,9,93,1,5.816200188,0.983213944,209.1943197,459.4427849,-0.05647,51.53604
125,275.88,Private room,FALSE,TRUE,2,FALSE,0,0,10,95,1,2.192042659,0.189548865,469.2516669,1034.05224,-0.10269,51.5205
126,167.69,Private room,FALSE,TRUE,2,TRUE,1,0,10,93,1,9.493782834,0.668650998,119.5910787,262.0634921,-0.2163,51.44347
127,232.13,Private room,FALSE,TRUE,2,FALSE,0,1,9,91,1,1.959788292,0.306983079,538.3354185,919.3199122,-0.10175,51.50113
128,386.42,Private room,FALSE,TRUE,2,FALSE,0,0,9,93,1,5.328486124,1.754002512,216.5289012,468.6259437,-0.17501,51.47072
